Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
IDA only,IDX,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.69767442,55.0625,56.85849057,53.9537037,48.9537037,44.26851852,41.82727273,39.13636364,30.95454545,29.84210526,26.16896552,24.26724138,24.83050847,24.28813559,23.74576271,23.84745763,23.13559322,,,,
Isle of Man,IMN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,35,30,28.5,29.8,16.5,17.5,,,,
Not classified,INX,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,19,19,19,19,19,19,16,16,12,12,11,11,11,11,,,,
"Iran, Islamic Rep.",IRN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,81.5,80.5,80.5,80.5,80.5,62.5,64.5,64.5,73.5,73.5,72.5,72.5,72.5,72.5,72.5,72.5,,,,
Iraq,IRQ,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,30.5,29.5,30.5,30.5,30.5,30.5,30.5,27.5,27.5,27.5,34.5,34.5,26.5,26.5,26.5,,,,
Iceland,ISL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,4.5,4.5,4.5,12,12,11.5,11.5,11.5,11.5,,,,
Israel,ISR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,18,18,18,18,18,18,19,12,12,12,11,11,11,11,,,,
Italy,ITA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,15,15,15,12,12.5,12.5,12.5,12.5,12.5,11.5,11,11,11,11,11,,,,
Jamaica,JAM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,8,8,8,8,8,8,7,7,6,15,3,10,3,3,3,,,,
Jordan,JOR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,26.5,16.5,16.5,13.5,13.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,
Japan,JPN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.2,11.2,11.1,11.2,11.2,11.2,,,,
Kazakhstan,KAZ,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,31,27,27,27,26,25,25,25,18,16,11,9,9,5,5,,,,
Kenya,KEN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,47,55,55,45,33,33,33,35,34,34,32,28,22,23,23,23,,,,
Kyrgyz Republic,KGZ,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,19,15,14,14,14,10,10,10,10,10,10,10,,,,
Cambodia,KHM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,87,86,86,102,102,102,102,102,101,101,87,99,99,99,99,,,,
Kiribati,KIR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,,,
St. Kitts and Nevis,KNA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19,18.5,18.5,18.5,18.5,18.5,18.5,18.5,,,,
"Korea, Rep.",KOR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,14,14,9,8,8,8,8,8,8,8,8,,,,
Kuwait,KWT,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,32.4,32.4,32.4,31.4,31.4,61.4,38.4,35.4,19.4,,,,
Latin America & Caribbean (excluding high income),LAC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.64285714,75.21428571,87.65,83.7,76.475,75.525,72.5,68.35,68,67.25,39.59090909,33.36363636,32.60909091,31.81363636,31.45,26.75,26.43181818,,,,
Lao PDR,LAO,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,135,135,116,86,86,86,86,78,88,88,88,187,174,174,174,173,,,,
Lebanon,LBN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,53,53,53,18,15,15,15,15,15,15,15,15,15,15,15,,,,
Liberia,LBR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,69,33,21,21,7,7,6,6,6,6,6,18,18,,,,
Libya,LBY,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,,,,
St. Lucia,LCA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20,20,20,14,14,11,11,11,11,11,11,11,11,11,,,,
Latin America & Caribbean,LCN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.31578947,67.5,74.79310345,70.65517241,64.3,63.46666667,61.78333333,58.4,53.9516129,53.43548387,35.65151515,30.8030303,31.72424242,32.17878788,31.93636364,28.75757576,28.09090909,,,,
Least developed countries: UN classification,LDC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.18333333,64.42647059,65.73684211,61.79487179,56.71794872,50.82051282,48.94871795,43.94871795,36.82051282,35.84146341,31.65,28.4047619,28.8255814,28.29069767,27.8372093,28.02325581,27.18604651,,,,
Low income,LIC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.44117647,50.575,58.54545455,54.47826087,49.04347826,43.2173913,40,37.47826087,27.34782609,26,23.95833333,22.83333333,24.06,23.5,22.78,23.16,22.36,,,,
Liechtenstein,LIE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,,,,
Sri Lanka,LKA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,46,46,46,42,44,44,38,35,11,11,11,10,9,9,9,8,,,,
Lower middle income,LMC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.57894737,59.74390244,57.11956522,55.59782609,51.27173913,49.7173913,47.65217391,43.76086957,38.86956522,37.86170213,32.80784314,28.79019608,27.80980392,27.0372549,26.19019608,24.57647059,23.65098039,,,,
Low & middle income,LMY,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.20786517,55.17010309,59.97321429,56.46491228,51.81140351,48.07894737,45.38695652,43.23043478,38.5,37.61016949,31.08015873,27.97222222,27.44015748,26.53543307,24.58661417,22.84251969,22.04645669,,,,
Lesotho,LSO,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,138,103,73,73,39,39,39,39,29,29,29,29,29,29,29,15,,,,
Late-demographic dividend,LTE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80606061,38.94722222,34.7525,33.2047619,29.63181818,25.17333333,23.56222222,22.45111111,19.65111111,18.58222222,19.03958333,18.30416667,15.57083333,15.78541667,14.36875,12.32291667,11.27083333,,,,
Lithuania,LTU,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,26,26,26,22,22,19.5,8.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,
Luxembourg,LUX,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,24,24,22,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,,,,
Latvia,LVA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,15.5,15.5,15.5,15.5,15.5,12.5,12.5,5.5,5.5,5.5,5.5,5.5,,,,
"Macao SAR, China",MAC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,12,12,12,12,12,12,12,12,12,11.5,11.5,10.5,10,9,9,9,,,,
Monaco,MCO,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,32,30,31,23,16,10,10,9,9,7,7,6,6,5,4,4,,,,
Madagascar,MDG,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,47,42,20,12,12,12,12,12,12,12,12,13,12,8,8,8,,,,
Maldives,MDV,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,,,,
Middle East & North Africa,MEA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.42142857,40.93125,38.99411765,37.7,32.80526316,24.43684211,22.91052632,23.04210526,23.265,24.48571429,23.1047619,22.34761905,22.39047619,23.41428571,21.2,20.36666667,19.51904762,,,,
Mexico,MEX,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.4,8.4,8.4,8.4,8.4,8.4,,,,
Marshall Islands,MHL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,
Middle income,MIC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.38888889,56.36363636,60.32222222,56.96703297,52.51098901,49.30769231,46.73369565,44.66847826,41.28804348,40.57446809,32.75588235,29.18137255,28.26862745,27.27941176,25.02941176,22.76470588,21.96960784,,,,
North Macedonia,MKD,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,60,31,28,22,17,16,16,15,15,15,15,15,15,15,15,,,,
Mali,MLI,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,27,42,25,25,8,8,8,8,11,11,8.5,8.5,11,11,11,,,,
Malta,MLT,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,38.5,38.5,33.5,28,26,16,16,20.5,,,,
Myanmar,MMR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77,77,16,14,14,14,7,,,,
Middle East & North Africa (excluding high income),MNA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,42.22727273,39.95833333,39.625,38.875,27.70833333,25.70833333,25.70833333,25.625,27.96153846,26.23076923,25.46153846,26.07692308,26.19230769,25.5,24.80769231,24.88461538,,,,
Montenegro,MNE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,23,14,12,12,12,12,12,12,12,12,12,12,,,,
Mongolia,MNG,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,17,17,17,17,17,17,17,16,16,16,12,12,12,12,12,,,,
Northern Mariana Islands,MNP,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,179,179,117,32,34,34,21,21,21,21,21,21,21,17,17,17,,,,
Mauritania,MRT,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,82,82,82,50,19,19,19,19,19,19,8,8,8,6,6,6,,,,
Mauritius,MUS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,46.5,46.5,7.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,5.5,5,4.5,,,,
Malawi,MWI,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,37,37,37,37,37,36,36,36,37,40,38,38,37,37,37,37,,,,
Malaysia,MYS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,37.5,37.5,37.5,31.5,20.5,18.5,17.5,8.5,9.5,9.5,7.5,7.5,23.5,23.5,13.5,17.5,,,,
North America,NAC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,5.5,5.5,5.5,5.5,5.5,5.85,5.55,3.55,3.55,3.55,3.55,2.85,,,,
Namibia,NAM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,85,95,95,99,66,66,66,66,66,66,66,66,66,54,54,54,,,,
New Caledonia,NCL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,32,24,20,18,18,18,18,18,16,16,11,8,10,10,,,,
Nigeria,NGA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,30.3,30.3,24.9,18.9,10.9,7.2,,,,
Nicaragua,NIC,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,40,40,40,39,39,39,39,39,39,37,14,14,14,14,14,14,,,,
Netherlands,NLD,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,8,8,5,4,3.5,3.5,3.5,3.5,3.5,3.5,,,,
Norway,NOR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,8,7,8,6,6,6,6,6,6,5,4,4,4,4,4,,,,
Nepal,NPL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31,29,29,17,17,17,17,18.5,18.5,22.5,,,,
Nauru,NRU,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
OECD members,OED,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8030303,33.94117647,27.48529412,24.87142857,22.41428571,19.12857143,17.82857143,16.87142857,15.01428571,14.37142857,12.41315789,11.33421053,10.51842105,10.09473684,10.09736842,10.04473684,9.481578947,,,,
Oman,OMN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,36.4,36.4,43.4,40.4,15.4,13.4,13.4,9.4,9.3,9.3,9.3,9.3,7.3,4.3,4.3,4.3,,,,
Other small states,OSS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.66666667,72.35714286,58.04166667,59.71428571,50.32,46.3,44.175,39.8,29.87058824,30.21111111,27.54444444,21.41111111,14.68333333,14.37777778,13.43333333,13.01666667,12.21111111,,,,
Pakistan,PAK,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,19.5,16.5,16.5,,,,
Panama,PAN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,18,18,12,12,9,8,7,6,6,6,6,6,6,6,,,,
Peru,PER,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,100.5,104.5,74.5,74.5,67,41,42.5,41.5,41.5,41.5,41.5,41.5,41,41,26,26,,,,
Philippines,PHL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,35,35,35,34,34,29,28,28,28,26,25,25,39,34,33,,,,
Palau,PLW,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,,,
Papua New Guinea,PNG,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,52,52,52,52,52,52,52,52,53,53,53,41,41,41,41,,,,
Poland,POL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,63,52,45,45,45,39,39,39,39,37,37,37,37,37,37,37,,,,
Pre-demographic dividend,PRE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.39583333,55.34482759,62.46969697,60.04411765,54.54411765,52.52941176,50.5,46.97058824,38.47058824,36.15714286,31.10555556,26.05,26.17027027,25.34864865,21.34864865,21.24054054,20.65405405,,,,
Puerto Rico,PRI,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,6,6,6,6,6,5.5,5.5,5.5,5.5,,,,
"Korea, Dem. People's Rep.",PRK,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,78,48,9,8,7,7,7,7,7,6,6,6,6,6.5,6.5,6.5,,,,
Paraguay,PRY,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,72,72,72,34,35,35,35,35,35,35,35,35,35,35,35,35,,,,
West Bank and Gaza,PSE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,74.5,74.5,73.5,63.5,63.5,63.5,62.5,49.5,47.5,43.5,43.5,43.5,43.5,43.5,43.5,,,,
Pacific island small states,PSS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44444444,32.77777778,33.44444444,33.88888889,33.88888889,33.11111111,30.22222222,30.22222222,26.11111111,23.88888889,24.33333333,24.33333333,24.33333333,20.44444444,20.44444444,20.44444444,20.44444444,,,,
Post-demographic dividend,PST,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.58333333,32.51666667,28.48387097,25.5,22.6875,20.203125,17.734375,17.296875,15.92647059,15.75,14.86944444,13.75833333,12.46666667,11.86666667,11.59166667,11.61944444,11.19166667,,,,
French Polynesia,PYF,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.2,8.2,10.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,8.7,8.7,,,,
Romania,ROU,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,28,11,11,8,8,8,8,12,8,8,8,8,12,12,35,20,,,,
Russian Federation,RUS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,11.5,10.8,10.1,10.1,10.1,10.1,,,,
Rwanda,RWA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,16,16,14,7,7,7,8,7,7,6,4,4,4,4,,,,
South Asia,SAS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,31.5,31.5,31.5,28.1,28.1,28.5,27.3,24.1,19.3,18.8625,17.25,16.5,16.1875,16.1,14.0625,14.5625,,,,
Saudi Arabia,SAU,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3,81.3,74.3,49.3,27.2,27.2,27.2,27.2,27.2,24.2,24.7,24.7,23.2,19.2,17.7,17.7,10.4,,,,
Sudan,SDN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,38.5,38.5,38.5,38.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,34.5,34.5,,,,
Senegal,SEN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,57,57,58,9,9,9,6,6,6,6,6,6,6,6,6,,,,
Singapore,SGP,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,6,6,5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,1.5,,,,
Solomon Islands,SLB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,55,55,55,55,55,55,41,7,9,9,9,9,9,9,9,,,,
Sierra Leone,SLE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,26,17,12,12,12,12,12,12,10,8,8,8,8,,,,
El Salvador,SLV,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,115,40,36,19.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,,,,
San Marino,SMR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,36,12.5,12.5,12.5,12.5,11.5,,,,
Somalia,SOM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,,,,
Serbia,SRB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56,23,23,23,23,13,13,13,12,12,11.5,11.5,6.5,5.5,5.5,7,,,,
Sub-Saharan Africa (excluding high income),SSA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.515625,60.04166667,64.18604651,60.56818182,55.59090909,51.53409091,48.875,46.875,37.60227273,35.62222222,31.3326087,29.02826087,28.82553191,28.11489362,23.90212766,23.01914894,21.30212766,,,,
