"Sym","Issuer Name","Cl","CUSIP","Option Type","Q1 2024","Q2 2024","Diff","Chg %","Q1 2024","Q2 2024","Diff","Chg %"
"EW","EDWARDS LIFESCIENCES CORP","COM","28176E108","","75,000","0","-75,000","-100%","7,167","0","-7,167","-100%"
"KOS","KOSMOS ENERGY LTD","COM","500688106","","1,200,409","0","-1,200,409","-100%","7,154","0","-7,154","-100%"
"QQQ","INVESCO QQQ TR","UNIT SER 1","46090E103","","15,000","0","-15,000","-100%","6,660","0","-6,660","-100%"
"AY","ATLANTICA SUSTAINABLE INFR P","SHS","G0751N103","","350,000","0","-350,000","-100%","6,468","0","-6,468","-100%"
"QCOM","QUALCOMM INC","COM","747525103","","35,000","0","-35,000","-100%","5,925","0","-5,925","-100%"
"U","UNITY SOFTWARE INC","COM","91332U101","call","200,000","0","-200,000","-100%","5,340","0","-5,340","-100%"
"MMM","3M CO","COM","88579Y101","","50,000","0","-50,000","-100%","5,303","0","-5,303","-100%"
"GE","GENERAL ELECTRIC CO","COM NEW","369604301","","30,000","0","-30,000","-100%","5,265","0","-5,265","-100%"
"SAGE","SAGE THERAPEUTICS INC","COM","78667J108","","275,000","0","-275,000","-100%","5,153","0","-5,153","-100%"
"XHB","SPDR SER TR","S&P HOMEBUILD","78464A888","","35,000","0","-35,000","-100%","3,905","0","-3,905","-100%"
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","","50,000","0","-50,000","-100%","3,816","0","-3,816","-100%"
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","","100,000","0","-100,000","-100%","3,691","0","-3,691","-100%"
"ALB","ALBEMARLE CORP","COM","012653101","","25,000","0","-25,000","-100%","3,293","0","-3,293","-100%"
"AMBA","AMBARELLA INC","SHS","G037AX101","","60,000","0","-60,000","-100%","3,046","0","-3,046","-100%"
"CC","CHEMOURS CO","COM","163851108","","112,348","0","-112,348","-100%","2,950","0","-2,950","-100%"
"DX","DYNEX CAP INC","COM","26817Q886","","214,626","0","-214,626","-100%","2,672","0","-2,672","-100%"
"FDMT","4D MOLECULAR THERAPEUTICS IN","COM","35104E100","","62,500","0","-62,500","-100%","1,991","0","-1,991","-100%"
"EQT","EQT CORP","COM","26884L109","","50,001","0","-50,001","-100%","1,853","0","-1,853","-100%"
"","RINGCENTRAL INC","NOTE 3/1","76680RAH0","","2,000,000","0","-2,000,000","-100%","1,798","0","-1,798","-100%"
"STVN","STEVANATO GROUP S P A","ORD SHS","T9224W109","","45,000","0","-45,000","-100%","1,444","0","-1,444","-100%"
"CRGY","CRESCENT ENERGY COMPANY","CL A COM","44952J104","","99,990","0","-99,990","-100%","1,189","0","-1,189","-100%"
"NEE","NEXTERA ENERGY INC","COM","65339F101","","16,904","0","-16,904","-100%","1,080","0","-1,080","-100%"
"","BLOCK INC","NOTE 0.250%11/0","852234AK9","","1,000,000","0","-1,000,000","-100%","835","0","-835","-100%"
"PRGS","PROGRESS SOFTWARE CORP","COM","743312100","","14,120","0","-14,120","-100%","752","0","-752","-100%"
"MDGL","MADRIGAL PHARMACEUTICALS INC","COM","558868105","","2,016","0","-2,016","-100%","538","0","-538","-100%"
"APLS","APELLIS PHARMACEUTICALS INC","COM","03753U106","","8,948","0","-8,948","-100%","525","0","-525","-100%"
"SRPT","SAREPTA THERAPEUTICS INC","COM","803607100","","3,956","0","-3,956","-100%","512","0","-512","-100%"
"BOLD","BOUNDLESS BIO INC","COM","10170A100","","20,000","0","-20,000","-100%","285","0","-285","-100%"
"UTHR","UNITED THERAPEUTICS CORP DEL","COM","91307C102","","1,054","0","-1,054","-100%","242","0","-242","-100%"
